"ResultType","Message"
"65001","The user or administrator has not consented to use the application with ID '{identifier}'{namePhrase}. Send an interactive authorization request for this user and resource."
"65002","Consent between first party application '{applicationId}' and first party resource '{resourceId}' must be configured via preauthorization - applications owned and operated by Microsoft must get approval from the API owner before requesting tokens for that API."
"65003","Consent for first party token-to-self must be configured via preauthorization. If preauthorization has already been configured, update the request to use a URI identifier for the resource instead of '{resourceId}' to work around this error."
"65004","User declined to consent to access the app."
"65005","The application '{name}' asked for scope '{scope}' that doesn't exist."
"65006","Resource '{resourceId}' had no entitlements matching required permissions configured on the required resource access for client '{clientId}'. Requested permission IDs: '{permissionId}'. This is a problem with one or more invalid permission ids on the client RRA configuration or the resource entitlement configuration."
"65007","Client '{clientId}' required resource access configuration has changed and therefore the request could not be completed. Please try again."
"70024","OIDC Provider Metadata missing required field '{fieldName}'."
"70030","Remote authentication failed to read session from storage."
"70031","Remote authentication session is in a bad state."
"70033","The remote auth session with this device code has already been approved."
"70034","The remote auth session with this device code has already been denied."
"70035","Remote auth session with this device code doesn't exist."
"70036","Unsupported remote auth session state."
"70037","Incorrect challenge response provided. Remote auth session denied."
"70039","The remote auth session with this device code has expired."
"70041","Unable to complete OAuth2 IdP's sign in. The 'nonce' claim does not match the expected value."
"70043","The refresh token has expired or is invalid due to sign-in frequency checks by conditional access. The token was issued on {issueDate} and the maximum allowed lifetime for this request is {time}."
"70044","The session has expired or is invalid due to sign-in frequency checks by conditional access."
"70045","The refresh token is invalid due to sign-in frequency checks by conditional access. Additionally, since the sign-in frequency policy applies to all applications, the token will never be usable, and should be deleted. The authInstant in this token was {authInstant} and the maximum allowed lifetime for this request is {time}."
"70046","The session has expired or is invalid due to re-authentication checks by conditional access."
"81001","Service ticket size exceeded the maximum allowed."
"81004","Kerberos authentication failed."
"81005","Authentication package is not supported."
"81006","No authorization header was found, returning 401 WWW-Authenticate."
"81007","Tenant is not enabled for DesktopSSO."
"81008","Failed to validate Kerberos ticket."
"81009","Unable to validate the user's Kerberos ticket, the authorization header value is not formatted correctly."
"81010","Seamless SSO failed because the user's Kerberos ticket has expired or is invalid."
"81011","Failed to find user by on-premise SID in the user's Kerberos ticket."
"81012","The user trying to sign in to Azure AD is different from the user signed into the device."
"81013","Failed to lookup the user whose kerberos ticket was used to login."
"81014","The DesktopSSO auth token has expired."
"81015","Rejecting DesktopSSO Kerberos ticket as it was obtained through delegation. Delegated Kerberos ticket does not originate from user directly. Please contact your tenant administrator to disable delegation on the AZUREADSSOACC account."
"81016","Invalid STS request."
"90000","Internal use"
"90002","Tenant '{tenant_name}' not found. Check to make sure you have the correct tenant ID and are signing into the correct cloud. Check with your subscription administrator, this may happen if there are no active subscriptions for the tenant."
"90004","The request is not properly formatted."
"90005","Unable to complete request. The request was invalid since SID and login_hint cannot be used together."
"90006","A transient error has occurred. Please try again."
"90007","Bad Request. The passed session ID cannot be parsed."
"90008","The user or administrator has not consented to use the application with ID '{appId}'({appName}). This happened because application is misconfigured: it must require access to Microsoft Graph by specifying at least 'Sign in and read user profile' permission."
"90009","Application '{appId}'({appName}) is requesting a token for itself. This scenario is supported only if resource is specified using the GUID based App Identifier."
"90010","Unable to create {algoName} algorithm."
"90012","This request has timed out."
"90013","Invalid input received from the user."
"90014","The required field '{name}' is missing from the credential. Ensure that you have all the necessary parameters for the login request."
"90015","Requested query string is too long."
"90016","Invalid access token. Required claim is missing."
"90017","Unexpected field '{fieldName}'."
"90019","No tenant-identifying information found in either the request or implied by any provided credentials."
"90020","The SAML 1.1 Assertion is missing ImmutableID of the user."
"90022","Principal name format is invalid for '{name}'. Expected format: name[/instance][@realm]. The principal name is required, host and realm are optional and may be set to null."
"90023","Invalid STS request."
"90024","A transient error has occurred. Please try again."
"90025","Request processing has exceeded internal allowance. This operation will be retried internally and usually resolves without user impact. Please verify the end result of the transaction to verify status."
"90026","Hostname contains an invalid wildcard '*' character."
"90027","We are unable to issue tokens from this API version on the MSA tenant. Please contact the application vendor as they need to use version 2.0 of the protocol to support this."
"90028","Principal name format is invalid for name '{name}'. Primary component of the name is required."
"90029","The realm '{name}' is a Unicode domain name. Domain names of this form are not supported."
"90030","A transient error has occurred. Try again after some time."
"90031","A transient error has occurred. Try again after some time."
"90032","A transient error has occurred. Try again after some time."
"90033","A transient error has occurred. Please try again."
"90035","Service is temporarily unavailable. Please retry later."
"90036","An unexpected, non-retryable error stemming from the directory service has occurred."
"90037","Non-retryable error has occurred."
"90038","Tenant '{tenant_name}' request is being redirected to the National Cloud '{cloud}'."
"90039","Service is temporarily unavailable. Please retry later."
"90040","A non-retryable error has occurred."
"90041","A transient error has occurred. Please try again."
"90042","National Cloud Name is missing in the postback request."
"90043","OAuth2 grant was issued by National Cloud STS."
"90044","National Cloud Request Process Switched off."
"90045","Service is too busy. Please try again later."
"90046","Internal use"
"90047","Internal use"
"90049","Application could not be found."
"90050","Response content length from external IdP exceeds supported limit."
"90051","Invalid Delegation Token. Invalid national Cloud ID ({cloudId}) is specified."
"90052","Actual message content is runtime specific. Please see returned exception message for details."
"90072","User account '{user}' from identity provider '{idp}' does not exist in tenant '{tenant}' and cannot access the application '{application}'({appName}) in that tenant. The account needs to be added as an external user in the tenant first. Sign out and sign in again with a different Azure Active Directory user account"
"90073","Invalid Fairfax Gateway Redirect."
"90081","An error occurred when the service tried to process a WS-Federation message. The message was invalid, malformatted, or contains potentially dangerous characters."
"90082","Authentication policy '{name}' selected for the request is not currently supported."
"90083","Request is unsupported."
"90084","Guest accounts are not allowed for this site."
"90085","The service is unable to issue a token because the company object hasn't been provisioned yet."
"90086","The user DA token is expired."
"90087","An error occurred while creating the WS-Federation message from the URI."
"90088","Authentication failed due to email address domain is not in allowed domains list for identity provider."
"90089","User token should not be used in App on behalf of flow."
"90090","A transient error has occurred. Please try again."
"90091","A transient error has occurred. Please try again."
"90092","Non-retryable error has occurred."
"90093","Actual message content is runtime specific. Please see returned exception message for details."
"90094","Admin consent is required for the permissions requested by this application."
"90095","Admin consent is required for the permissions requested by this application. An admin consent request may be sent to the admin."
"90096","Admin consent is required for the permissions requested by this application. Admin consent request sent for processing."
"90097","An error has occured during admin consent processing."
"90098","An unexpected approval request ID was provided."
"90099","The application '{appId}' ({appName}) has not been authorized in the tenant '{tenant}'. Applications must be authorized to access the customer tenant before partner delegated administrators can use them."
"90100","{name} parameter is empty or not valid."
"90101","The supplied data isn't a valid email address. Please provide it in the format someone@example.com"
"90102","'{name}' value must be a valid absolute URI."
"90107","The request is not valid. Make sure your data doesn't have invalid characters."
"90112","Application identifier is expected to be a GUID."
"90114","The specified bulk AADJ token expiration timestamp will cause an expired token to be issued."
"90116","{method} request is made, while POST is the only supported verb."
"90117","Invalid request."
"90119","The user code is null or missing."
"90120","This request was already authorized or declined."
"90121","Invalid empty request."
"90122","User identifier is not present."
"90123","The token can't be issued because the identity or claim issuance provider denied the request. Response code: {errorCode}."
"90124","{resConstant} '{resourceId}' {resourceName} is not supported over the /common or /consumers endpoints. Please use the /organizations or tenant-specific endpoint."
"90125","{userName} isn't in our system. Make sure you entered the user name correctly."
"90126","User Type is not supported on this endpoint. The system can't infer the user's tenant from the user name: {userName}"
"90128","Unable to load OptIn store for user."
"90129","{resConstant} '{resourceId}' {resourceName} has a configured token version of '1' and is not supported over the /common or /consumers endpoints."
"90130","{appConstant} '{appId}' {appName} is not supported over the /common or /consumers endpoints. Please use the /organizations or tenant-specific endpoint."
"90131","Invalid ambiguous request. sid cannot be used with prompt {prompt}."
"90132","The provided value for the input parameter 'device_code' is not valid. Device codes supporting the personal Microsoft Account sign-in audience can only be used for v2 common or consumers tenants."
"90134","Retrieving claims from identity provider '{idp}' failed."
"90135","The user decided not to continue the authentication. No remediation is required."
"90136","Device Code flow is not supported for Confidential Clients."
"90137","Token issuance cannot proceed because user declined consent approval to release their profile information."
"90138","Invalid ambiguous request. sid cannot be used with login_hint."
"90139","Invalid request. The device code flow connect mode in your request is only supported for the /consumers/ tenant."
"90150","Failed to read request."
"130001","Signature key ID is not provided."
"130004","UserPrincipal doesn't have the NGC key configured."
"130005","NGC key signature verification failed."
"130006","The NGC transport key isn't configured on the device."
"130007","The device is disabled."
"130008","Device referenced by the NGC key is not found."
"130009","Device key was found weak."
"130500","Phone sign in was blocked due to User Credential Policy."
"130501","Sign in was blocked due to User Credential Policy."
"130502","Temporary Access Pass sign in was blocked due to User Credential Policy."
"130503","Your Temporary Access Pass is incorrect. If you don't know your pass, contact your administrator."
"130504","Your Temporary Access Pass has expired. Contact your administrator to obtain a new pass."
"130505","Your one-time Temporary Access Pass has been redeemed. Contact your admin to get a new pass."
"130506","Access Pass must be used for Web Sign In. Contact your admin to get an Access Pass."
"130507","An access pass could not be found or verified for the user."
"135000","Fido signature verification failed."
"135001","UserPrincipal doesn't have the key ID configured."
"135002","Fido key does not have authenticator data."
"135003","Fido assertion verification failed. Invalid gesture provided."
"135004","Invalid postBackUrl parameter."
"135005","Invalid cancelUrl parameter."
"135006","Invalid resumeUrl parameter."
"135007","Client data type is not valid."
"135008","Relying Party Origin is not valid."
"135009","Flow Token Scenario must be login scenario."
"135010","UserPrincipal doesn't have the key ID configured."
"135011","Device used during the authentication is disabled."
"135012","UserObjectId from the UserHandle does not match with UserPrincipal UserObjectId."
"135013","Invalid UserHandle prefix."
"135014","Invalid UserHandle length."
"135015","The FIDO exclude list was not a valid JSON blob."
"135016","FIDO sign-in is disabled via policy."
"135017","Unexpected Signature Counter received from authenticator."
"135018","Invalid challenge received from fido assertion."
"135019","Expired Challenge received from Fido assertion."
"135020","Invalid Fido assertion."
"135021","Invalid UserHandle prefix."
"135022","Redirect uri provided by MSA is not valid."
"140000","Request nonce is expired. Current time: {curTime}, expiry time of assertion {expTime}."
"140001","The session key is not valid."
"140002","Key not found"
"140003","Nonce purpose not supported"
"140004","Invalid Ticket Granting Ticket request."
"140005","Invalid Ticket Granting Ticket request."
"140006","Invalid Ticket Granting Ticket request."
"140007","Invalid Ticket Granting Service request."
"140008","Invalid ApReq assertion provided."
"140009","Kerberos crypto bad request"
"140010","Kerberos ticket validation failure"
"160011","Selected user account was invalid."
"160021","Application requested a user session which does not exist."
"240000","Limit for BulkAADJ tokens is reached for the tenant."
"240001","User is not authorized to register devices in Azure AD."
"240002","Input id_token cannot be used as 'urn:ietf:params:oauth:grant-type:jwt-bearer' grant."
"240003","Unexpected result from authorize endpoint call."
"240004","Authorization code not received from authorize endpoint call. Error: {errorInfo}"
"240005","Missing required user role to acquire a bulk AADJ token. For more information please go to https://go.microsoft.com/fwlink/?linkid=2224591."
"399206","An unexpeted and non-retryable error happened when fetching bloomfilter data from blob storage."
"399207","The token request does not contain one or more supported response token type(s): '{ResType}'."
"399208","Registered certificates must not be used for token binding for public clients. Please use ephemeral client certificates."
"399209","Application '{appIdentifier}' does not have certificate-bound access tokens enabled."
"399210","A verifiable credential is required to access this resource."
"399211","Unable to find the requested DiskCache."
"399212","Requested DiskCache is expired."
"399213","The device key supplied is invalid."
"399214","The algorithm in the request is invalid."
"399215","HttpRequestException occurred in request to Dsts."
"399216","Timeout occurred in request to Dsts."
"399217","Non-retryable error has occurred."
"399218","For security reasons, user confirmation is required for this request. Please repeat the request allowing user interaction."
"399219","MSA Data Accessor transient timeout."
"399220","More than one service principal returned"
"399229","Multiple MAM Browser client IDs are present in the claims collection. Values: {values}"
"399230","MAM Browser application principal '{appPrincipalId}' is not valid in the directory"
"399231","MAM Browser application principal '{appPrincipalId}' does not have any usable reply address in the directory"
"399232","MAM Browser application principal '{appPrincipalId}' reply address validation failed. Reason: '{reason}'"
"399233","DstsCache is missing the Signingkey info"
"399234","Recieved public Signingkey response has XML parsing error"
"399235","Invalid Soap Headers passed to Dsts request"
"399236","Invalid Soap Body passed to Dsts request"
"399237","Failure when proxying a request from DstsCache to legacy dSTS"
"500011","The resource principal named {name} was not found in the tenant named {tenant}. This can happen if the application has not been installed by the administrator of the tenant or consented to by any user in the tenant. You might have sent your authentication request to the wrong tenant."
"500012","Resource application name '{name}' is not valid."
"500013","Resource identifier is not provided."
"500014","The service principal for resource '{identifier}' is disabled. This indicate that a subscription within the tenant has lapsed, or that the administrator for this tenant has disabled the application, preventing tokens from being issued for it."
"500015","MSA provisioned resources are not supported in the tenant named {tenant}."
"500016","Application '{appIdentifier}' is not supported as a resource application to execute the flow."
"500017","Application '{appIdentifier}' is not allowed as a resource application to execute the flow."
"500021","Access to '{tenant}' tenant is denied."
"500022","Access to '{tenant}' tenant is denied."
"500023","'{headerFromCredential}' is not the same as '{headerFromRequest}'."
"500024","Conflicting tenant restrictions signals received by the server on the login request. The header indicated '{headerFromRequest}' while the application added a claims request for '{headerFromClaims}'. This can indicate conflicting network and device policies, which Azure AD does not support."
"500025","Conflicting tenant restrictions signals received by the server from a claims request. The header from the Id Token '{headerFromIdToken}' is different than the header from the access token '{headerFromAccessToken}'."
"500031","Cannot find signing certificate configured."
"500032","Cannot find signing certificate/private key to issue a certificate."
"500033","There is an issue with the key '{kid}'. It has both x5t and x5c values, but they do not match. Please make sure the x5t value is the Base64Url-encoded SHA-1 thumbprint of the first certificate in x5c."
"500081","SAML assertion validation failed: no supported token signature is provided."
"500082","SAML assertion is not present in the token."
"500083","Unable to verify token signature. No trusted realm was found with identifier '{issuer}'."
"500084","Cannot read SecurityToken. Expected element is ({expectedName}, {expectedNamespace}) the actual element is ({localName}, {actualNamespace})."
"500085","SAML Assertion with MajorVersion '{actualMajor}' and MinorVersion '{actualMinor}' is not supported. The supported version is MajorVersion '{major}' and MinorVersion '{minor}'."
"500086","SAML Assertion AssertionId '{id}' is not a valid xsd:ID value."
"500087","SAML Assertion does not have any SAML Statement elements. SAML Assertion must have at least one SAML Statement element."
"500088","SAML Assertion is missing the required '{name}' Attribute."
"500089","SAML 2.0 assertion validation failed: {details}"
"500101","Audience URI validation failed. No token audiences were found."
"500102","Audience URI validation failed. No allowed audiences are configured."
"500103","Validation of Audience URI(s) {uri} failed. No match was found with allowed audience(s) {audience}."
"500111","The reply uri specified in the request has an invalid scheme."
"500112","The reply address '{actual}' does not match the reply address '{provided}' provided when requesting Authorization code."
"500113","No reply address is registered for the application{idPhrase}."
"500114","Protocol not specified for reply address validation."
"500115","The reply uri specified in the request is missing or not a valid URL."
"500116","The reply uri specified in the request is not a valid URL. Allowed schemes: '{schemes}'."
"500117","The reply uri specified in the request isn't using a secure scheme."
"500118","The reply uri specified in the request failed validation. The reply uri host must match one of the registered DNS host names '{host}' for site with ID '{id}'."
"500119","Redirect URIs with urn: schemes are prohibited. Use a different scheme, or https://login.microsoftonline.com/common/oauth2/nativeclient"
"500121","Authentication failed during strong authentication request."
"500122","SWT assertion failed signature validation. Actual message content is runtime specific. Please see returned exception message for details."
"500123","SWT assertion failed signature validation. Actual message content is runtime specific. Please see returned exception message for details."
"500124","No device secret is provisioned in the store."
"500125","Invalid device secret is provided."
"500126","External ID token from issuer '{issuer}' failed signature verification. KeyID of token is '{identifier}'."
"500127","No authenticated credentials found in request."
"500128","No session key found."
"500129","No NGC transport key found."
"500131","Assertion audience does not match the Client app presenting the assertion. The audience in the assertion was '{tokenAudience}' and the expected audience is '{expectedAudience}' or one of the Application Uris of this application with App ID '{appId}'({appName}). The downstream client must request a token for the expected audience (the application that made the OBO request) and this application should use that token as the assertion."
"500132","Assertion is malformed and cannot be read."
"500133","Assertion is not within its valid time range. Ensure that the access token is not expired before using it for user assertion, or request a new token. Current time: {curTime}, expiry time of assertion {expTime}."
"500135","Authentication code is missing in the assertion."
"500136","The token issuer doesn't match the api version: A version 2 token can only be used with the v2 endpoint."
"500137","The token issuer doesn't match the api version: A version 1 token cannot be used with the v2 endpoint."
"500138","No Refresh Token claim provided in the assertion."
"500139","Refresh token in the assertion is not a primary refresh token."
"500141","The user's redemption is complete but the request was not initiated by the target application."
"500142","The user's redemption is complete and the sign-in should continue."
"500183","Certificate has been revoked."
